id;opening_time;closing_time;address;number_of_deliveries;owner_point_id
1;Generic Gloves Knoll;turquoise maroon Programmable;orchid;79058;1
2;Loan;District redundant;Home communities Barbuda;47863;2
3;Future;Credit THX;deposit;92279;3
4;Administrator Dynamic Wooden;AGP Steel withdrawal;index Checking Generic;78446;4
5;Albania;Programmable Pierre;cyan;27855;5
6;Front-line robust;black;compressing;85651;6
7;Generic Kwacha Avon;interactive;Agent;89911;7
8;orchestrate;Officer Nebraska Dynamic;Cayman;24655;8
9;high-level Spurs Orchestrator;bypass;backing;10220;9
10;mobile Garden;Assistant Dynamic;Cotton;40513;10
